0,1,2,3,4,5,page,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Item,,,Rs. Billion,,160,,,,,,,,,,,,,,,,
,Total Receipts other than Government Borrowings,,,"5,042",,160,,,,,,,,,,,,,,,,
,Total Primary Expenditure,,,"4,285",,160,,,,,,,,,,,,,,,,
,Recurrent,,,"2,970",,160,,,,,,,,,,,,,,,,
,Capital,,,"1,315",,160,,,,,,,,,,,,,,,,
,Debt Service Payments,,,"4,550",,160,,,,,,,,,,,,,,,,
,Interest Payments,,,"2,950",,160,,,,,,,,,,,,,,,,
,Debt Repayments,,,"1,600",,160,,,,,,,,,,,,,,,,
,Provision for Advanced Accounts,,,7,,160,,,,,,,,,,,,,,,,
,Adjustments for book/cash Value of Government Securities,,,200,,160,,,,,,,,,,,,,,,,
"Total Gross Borrowing Requirement to be recorded in
Government Accounts",,,"4,000",,,160,,,,,,,,,,,,,,,,
Category,"Present
basic salary",Increase,"New basic
salary",,,171,,,,,,,,,,,,,,,,
Public sector,"24,250","15,750","40,000",,,171,,,,,,,,,,,,,,,,
Universities,"27,025","15,750","42,775",,,171,,,,,,,,,,,,,,,,
Other SOEs,"24,750","15,750","40,500",,,171,,,,,,,,,,,,,,,,
,Public Sector,,Universities,,SOEs,173,,,,,,,,,,,,,,,,
,Present,New,Present,New,Present,173,New,,,,,,,,,,,,,,,
Basic salary,"24,250","40,000","27,025","42,775","24,750",173,"40,500",,,,,,,,,,,,,,,
"Interim allowance as per PA circular
No.09/2019","2,500",-,-,-,-,173,-,,,,,,,,,,,,,,,
"Monthly allowance as per PA circular
No.03/2022","5,000",-,"5,000",-,"5,000",173,-,,,,,,,,,,,,,,,
Cost of Living Allowance (COLA),"17,800","17,800","17,800","17,800","17,800",173,"17,800",,,,,,,,,,,,,,,
"Monthly
Compensation Allowance (MCA)",-,-,"12,161","15,399",-,173,-,,,,,,,,,,,,,,,
"Monthly
Compensation Allowance (MCA)(fixed)",,,,(330),,173,,,,,,,,,,,,,,,,
Backlog allowance,-,-,"5,405",-,-,173,-,,,,,,,,,,,,,,,
Total gross salary,"49,550","57,800","67,391","75,644","47,550",173,"58,300",,,,,,,,,,,,,,,
Net salary increase,"8,250",,"8,253",,"10,750",173,,,,,,,,,,,,,,,,
"Monthly
Net Salary
Increase",Monthly Payments,,,,,175,,,,,,,,,,,,,,,,
,From April 2025,From January 2026,"From January
2027",,,175,,,,,,,,,,,,,,,,
"Rs.8,250","Rs.5,975
(i.e.5,000+975)
(Rs.5,000 +(8250-5,000)
*30%)","Rs.7,113
(i.e.5,000+2,113)
(Rs.5,000 +(8,250-5,000)
*65%)","Rs.8,250",,,175,,,,,,,,,,,,,,,,
"Rs.10,000","Rs.6,500
(i.e.5,000+1,500)
(Rs.5,000+(10,000-5,000)
*30%)","Rs.8,250 (i.e.
5,000+3,250)
(Rs.5,000+(10,000-5,000)
*65%)","Rs.10,000",,,175,,,,,,,,,,,,,,,,
"Rs.15,000","Rs.8,000
(i.e.5,000+3,000)
(Rs.5,000+(15,000-5,000)
*30%)","Rs.11,500
(i.e.5,000+6,500)
(Rs.5,000+(15,000-5,000)
*65%)","Rs.15,000",,,175,,,,,,,,,,,,,,,,
"Rs.25,000","Rs.11,000
(i.e.5,000+6,000)
(Rs.5,000+(25,000-5,000)
*30%)","Rs.18,000
(i.e.5,000+13,000)
(Rs.5,000+(25,000-5,000)
*65%)","Rs.25,000",,,175,,,,,,,,,,,,,,,,
"Rs.40,000","Rs.15,500
(i.e.5,000+10,500)
(Rs.5,000+(40,000-5,000)
*30%)","Rs.27,750
(i.e.5,000+22,750)
(Rs.5,000+(40,000-5,000)
*65%)","Rs.40,000",,,175,,,,,,,,,,,,,,,,
"Rs.50,000","Rs.18,500
(i.e.5,000+13,500)
(Rs.5,000+(50,000-5,000)
*30%)","Rs.34,250
(i.e.5,000+29,250)
(Rs.5,000+(50,000-5,000)
*65%)","Rs.50,000",,,175,,,,,,,,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,178,"2nd
Slab",Years,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Primary Level Unskilled,PL 1 - 2025,"40,000",10,450,10,178,490,10,540,12,590,"61,880",,,,,,,,,,
Primary Level Semi-skilled,PL 2 - 2025,"41,800",10,490,10,178,540,10,590,12,630,"65,560",,,,,,,,,,
Primary Level Skilled,PL 3 - 2025,"42,780",10,490,10,178,540,10,590,12,630,"66,540",,,,,,,,,,
Management Assistants Seg 2,MN 1 - 2025,"45,230",10,540,11,178,630,10,890,10,"1,190","78,360",,,,,,,,,,
Management Assistants Seg 1,MN 2 - 2025,"48,470",10,540,11,178,630,10,"1,010",10,"1,190","82,800",,,,,,,,,,
"MA Supervisory Non-
Tech/Tech",MN 3 -2025,"52,250",10,800,11,178,"1,190",10,"1,320",10,"1,350","100,040",,,,,,,,,,
Associate Officer,MN 4 - 2025,"53,060",10,800,11,178,"1,190",10,"1,320",5,"1,350","94,100",,,,,,,,,,
"Field/ Office based Officer
Seg 2",MN 5 - 2025,"58,660",10,"1,190",11,178,"1,360",15,"1,670",-,-,"110,570",,,,,,,,,,
"Field/ Office based Officer
Seg 1",MN 6 - 2025,"62,230",10,"1,190",11,178,"1,360",15,"1,670",-,-,"114,140",,,,,,,,,,
Management Assistants Supra,MN 7 - 2025,"71,240",11,"1,360",18,178,"1,850",-,,-,-,"119,500",,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,179,"2nd
Slab",Years,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
MA Technical Seg 3,MT 1 - 2025,"50,090",10,540,11,179,630,10,"1,010",10,"1,190","84,420",,,,,,,,,,
MA Technical Seg 2,MT 2 - 2025,"50,630",10,630,11,179,670,10,"1,010",10,"1,190","86,300",,,,,,,,,,
MA Technical Seg 1,MT 3 - 2025,"51,890",10,630,11,179,670,10,"1,010",10,"1,190","87,560",,,,,,,,,,
Para Medical Services Seg 3,MT 4 - 2025,"52,520",10,800,11,179,"1,190",10,"1,320",10,"1,350","100,310",,,,,,,,,,
Para Medical Services Seg 2,MT 5 - 2025,"53,320",10,800,11,179,"1,190",10,"1,320",10,"1,350","101,110",,,,,,,,,,
"PSM/ Para Medical Services
Seg 1",MT 6 - 2025,"54,120",10,800,11,179,"1,190",10,"1,320",10,"1,350","101,910",,,,,,,,,,
Nurses,MT 7 - 2025,"54,920",10,800,11,179,"1,190",10,"1,320",10,"1,350","102,710",,,,,,,,,,
"Nurses, PSM, PMS Spl.Grade",MT 8 - 2025,"86,800",10,"2,420",8,179,"2,940",-,-,-,-,"134,520",,,,,,,,,,
Executive,SL 1 - 2025,"82,150",10,"2,400",8,179,"2,940",17,"3,900",-,,"195,970",,,,,,,,,,
Medical Officers,SL 2 - 2025,"91,750",3,"2,400",7,179,"2,420",2,"2,940",16,"3,900","184,170",,,,,,,,,,
"Senior executive/ MO
Specialists",SL 3 - 2025,"156,000",12,"4,850",-,179,-,-,-,-,-,"214,200",,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,180,"2nd
Slab",Years,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Secretaries,SL 4 - 2025,"175,000",12,"5,300",-,180,-,-,-,-,-,"238,600",,,,,,,,,,
Law Officers,SL 5 - 2025,"101,350",5,"2,400",5,180,"2,940",15,"3,900",-,-,"186,550",,,,,,,,,,
Sri Lanka Teachers Service,GE 1 - 2025,"53,060",6,800,7,180,940,2,"1,080",-,-,"66,600",,,,,,,,,,
Sri Lanka Teachers Service,GE 2 - 2025,"66,880",10,"1,490",7,180,"2,400",20,"2,940",-,-,"157,380",,,,,,,,,,
"Sri Lanka Teachers Advisors
Service",GE 3 - 2025,"70,870",3,"1,670",7,180,"2,400",20,"2,520",-,-,"143,080",,,,,,,,,,
Sri Lanka Principals Service,GE 4 - 2025,"72,280",7,"1,670",6,180,"2,400",25,"2,970",-,-,"172,620",,,,,,,,,,
Medical Practitioners,MP 1 - 2025,"59,720",12,"1,190",13,180,"1,340",10,"2,040",-,-,"111,820",,,,,,,,,,
Medical Practitioners Spl. Gr.,MP 2 - 2025,"97,540",9,"2,420",9,180,"2,940",-,-,-,-,"145,780",,,,,,,,,,
Police/Regulatory Services,RS 1 - 2025,"49,550",7,540,27,180,670,-,-,-,-,"71,420",,,,,,,,,,
Police/Regulatory Services,RS 2 - 2025,"54,000",9,670,17,180,890,-,-,-,-,"75,160",,,,,,,,,,
Police/Regulatory Services,RS 3 - 2025,"55,410",7,670,2,180,890,25,"1,190",-,-,"91,630",,,,,,,,,,
Police/Regulatory Services,RS 4 - 2025,"63,070",24,"1,190",-,180,-,-,-,-,-,"91,630",,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,181,"2nd
Slab",Years,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Police/Regulatory Service,RS 5 - 2025,"72,800",17,"1,400",-,181,-,-,-,-,-,"96,600",,,,,,,,,,
Postal Service,PPL 1 - 2025,"40,000",10,450,10,181,490,-,-,-,-,,,,,,,,,,,
Postal Service,PPL 2 - 2025,"40,900",10,470,10,181,500,-,-,-,-,,,,,,,,,,,
Postal Service,PPL 3 - 2025,"41,800",10,500,10,181,540,-,-,-,-,,,,,,,,,,,
Postal Service,PPL 4 - 2025,"43,800",10,540,10,181,630,-,-,-,-,,,,,,,,,,,
Postal Service,PSO 1 - 2025,"45,420",10,540,10,181,630,-,-,-,-,,,,,,,,,,,
Postal Service,PSO 2 - 2025,"54,650",10,800,10,181,"1,190",-,-,-,-,,,,,,,,,,,
Postal Service,PSO 3 - 2025,"74,660",9,"1,320",11,181,"1,340",-,-,-,-,,,,,,,,,,,
Sri Lanka State Audit Service,AS 1 - 2025,"64,610",10,"1,190",11,181,"1,360",15,"1,670",-,-,"116,520",,,,,,,,,,
Sri Lanka State Audit Service,AS 2 - 2025,"78,040",11,"1,360",18,181,"1,850",-,-,-,-,"126,300",,,,,,,,,,
Sri Lanka State Audit Service,AS 3 - 2025,"86,950",10,"2,400",8,181,"2,940",17,"3,900",-,-,"200,770",,,,,,,,,,
Sri Lanka State Audit Service,AS 4 - 2025,"165,700",12,"4,850",-,181,,-,-,-,-,"223,900",,,,,,,,,,
Service Category,Salary Code,"Initial
step",Years,"1st
Slab",Years,182,"2nd
Slab",Years,"3rd
Slab",Years,"4th
Slab",Maximum,,,,,,,,,,
Grama Niladari Service,GN 1 - 2025,"50,630",10,540,11,182,630,10,"1,010",10,"1,190","84,960",,,,,,,,,,
Grama Niladari Service,GN 2 - 2025,"72,600",11,"1,360",18,182,"1,850",-,-,-,-,"120,860",,,,,,,,,,
Railway,Railway -2025,"57,810",5,890,5,182,"1,030",10,"1,300",10,"1,340","93,810",,,,,,,,,,
No,Category,,Salary,,Group,182,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,182,,Step,,,,slab,,,,slab,,,,slab,,
1,"Private/Ordinary Seaman/ Air
Craftsman",OR 1-2025,,,III,182,"49,550",,,7,540,,,19,670,,,,,,,"66,060"
2,"Private/Ordinary Seaman/ Air
Craftsman",OR 1-2025,,,II,182,"50,090",,,6,540,,,19,670,,,,,,,"66,060"
3,"Private/Ordinary Seaman/ Air
Craftsman",OR 1-2025,,,I,182,"50,630",,,5,540,,,19,670,,,,,,,"66,060"
4,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,III,182,"51,170",,,4,540,,,19,670,,,,,,,"66,060"
5,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,II,182,"51,710",,,3,540,,,19,670,,,,,,,"66,060"
6,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,I,182,"52,250",,,2,540,,,19,670,,,,,,,"66,060"
No,Category,,Salary,,Group,183,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,183,,Step,,,,slab,,,,slab,,,,slab,,
7,"Lance Corporal/Able Seaman/Leading
Air Craftsman",OR 2-2025,,,Special,183,"52,790",,,1,540,,,19,670,,,,,,,"66,060"
8,Corporal/Leading Seaman/Corporal,OR 3-2025,,,III,183,"52,790",,,1,540,,,10,670,,,9,890,,,"68,040"
9,Corporal/Leading Seaman/Corporal,OR 3-2025,,,II,183,"53,330",,,10,670,,,9,890,,,,,,,"68,040"
10,Corporal/Leading Seaman/Corporal,OR 3-2025,,,I,183,"54,000",,,9,670,,,9,890,,,,,,,"68,040"
11,Corporal/Leading Seaman/Corporal,OR 3-2025,,,Special,183,"54,670",,,8,670,,,9,890,,,,,,,"68,040"
12,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,III,183,"54,670",,,3,670,,,9,890,,,3,"1,190",,,"68,260"
13,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,II,183,"55,340",,,2,670,,,9,890,,,3,"1,190",,,"68,260"
14,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,I,183,"56,010",,,1,670,,,9,890,,,3,"1,190",,,"68,260"
15,Sergeant/Petty Officer/Sergeant,OR 4-2025,,,Special,183,"56,680",,,9,890,,,3,"1,190",,,,,,,"68,260"
16,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,III,183,"56,010",,,1,670,,,9,890,,,3,"1,190",,,"68,260"
17,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,II,183,"56,680",,,9,890,,,3,"1,190",,,,,,,"68,260"
18,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,I,183,"57,570",,,8,890,,,3,"1,190",,,,,,,"68,260"
19,"Staff Sergeant/Chief Petty
Officer/Flight Sergeant",OR 5-2025,,,Special,183,"58,460",,,7,890,,,3,"1,190",,,,,,,"68,260"
20,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,III,183,"59,350",,,6,890,,,14,"1,190",,,,,,,"81,350"
No,Category,,Salary,,Group,184,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,184,,Step,,,,slab,,,,slab,,,,slab,,
21,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,II,184,"60,240",,,5,890,,,14,"1,190",,,,,,,"81,350"
22,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,I,184,"61,130",,,4,890,,,14,"1,190",,,,,,,"81,350"
23,"Warrant Officer II/Fleet Chief Petty
Officer/Warrant Officer",OR 6-2025,,,Special,184,"62,020",,,3,890,,,14,"1,190",,,,,,,"81,350"
24,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,III,184,"65,880",,,13,"1,190",,,,,,,,,,,"81,350"
25,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,II,184,"67,070",,,12,"1,190",,,,,,,,,,,"81,350"
26,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,I,184,"68,260",,,11,"1,190",,,,,,,,,,,"81,350"
27,"Warrant Officer I/Master Chief Petty
Officer/Master Warrant Officer",OR 7-2025,,,Special,184,"69,450",,,10,"1,190",,,,,,,,,,,"81,350"
28,Cadet,"Fixed
Salary",,,,184,"54,670",,,,,,,,,,,,,,,"54,670"
29,Mid Shipman,"Fixed
Salary",,,,184,"55,340",,,,,,,,,,,,,,,"55,340"
30,"2nd Lieutenant (cadet)/ Pilot Officer
(cadet)","Fixed
Salary",,,,184,"65,880",,,,,,,,,,,,,,,"65,880"
31,"2nd Lieutenant (non cadet)/ Pilot
Officer (non cadet)","Fixed
Salary",,,,184,"71,830",,,,,,,,,,,,,,,"71,830"
32,"Lieutenant / Sub Lieutenant/Flying
Officer",R 1-2025,,,,184,"82,150",,,30,"2,400",,,,,,,,,,,"154,150"
33,Quarter Master,R 2-2025,,,,184,"84,550",,,30,"2,400",,,,,,,,,,,"156,550"
No,Category,,Salary,,Group,185,,Initial,,Years,,1st,,years,,2nd,,Years,,3rd,,Maximum
,,,Code,,,185,,Step,,,,slab,,,,slab,,,,slab,,
34,Captain/Lieutenant/Flight Lieutenant,R 3-2025,,,,185,"96,550",,,24,"2,400",,,,,,,,,,,"154,150"
35,"Major/Lieutenant
Commander/Squadron Leader",R 4-2025,,,,185,"106,150",,,22,"2,400",,,,,,,,,,,"158,950"
36,"Lieutenant Colonel/Commander/Wing
Commander",R 5-2025,,,,185,"109,090",,,17,"2,940",,,,,,,,,,,"159,070"
37,Colonel/Captain/Group Captain,R 6-2025,,,,185,"133,570",,,17,"3,900",,,,,,,,,,,"199,870"
38,"Brigadier/Commodore/Air
Commodore",R 7-2025,,,,185,"141,370",,,15,"3,900",,,,,,,,,,,"199,870"
39,"Major General/Rear Admiral/Air Vise
Marshal",R 8-2025,,,,185,"156,000",,,12,"4,850",,,,,,,,,,,"214,200"
40,"Lieutenant General/Vise Admiral/Air
Marshal",R 9-2025,,,,185,"165,700",,,10,"4,850",,,,,,,,,,,"214,200"
41,General/Admiral/Air Chief Marshal,R 10-2025,,,,185,"180,250",,,7,"4,850",,,,,,,,,,,"214,200"
No,Service Category,Salary Code,,Initial,,186,Years,1st Slab,Years,,2nd,,Years,,3rd,,Maximum,,,,,
,,,,Step,,186,,,,,Slab,,,,Slab,,,,,,,
1,Primary Level,A-2025,"42,290",,,186,9,490,10,540,,,6,590,,,"55,640",,,,,
2,,B-2025,"47,240",,,186,9,540,10,590,,,3,680,,,"60,040",,,,,
3,,C-2025,"51,020",,,186,11,590,10,680,,,,,,,"64,310",,,,,
4,Secondary Level,D-2025,"54,560",,,186,3,680,10,800,,,4,"1,190",,,"69,360",,,,,
5,,E-2025,"58,660",,,186,9,"1,190",3,"1,360",,,,,,,"73,450",,,,,
6,,F-2025,"69,370",,,186,12,"1,360",,,,,,,,,"85,690",,,,,
7,Territory Level,G-2025,"74,810",,,186,9,"1,360",6,"1,670",,,,,,,"97,070",,,,,
8,,H-2025,"81,610",,,186,3,"1,360",13,"1,850",,,,,,,"109,740",,,,,
9,,I-2025,"91,750",,,186,5,"2,400",8,"2,940",,,,,,,"127,270",,,,,
10,Senior Level,IA-2025,"101,350",,,186,3,"2,400",8,"2,940",,,2,"3,900",,,"139,870",,,,,
11,,J-2025,"109,090",,,186,7,"2,940",6,"3,900",,,,,,,"153,070",,,,,
12,,K-2025,"117,910",,,186,4,"2,940",8,"3,900",,,,,,,"160,870",,,,,
13,,L-2025,"133,570",,,186,12,"3,900",,,,,,,,,"180,370",,,,,
14,,M-2025,"156,000",,,186,12,"4,850",,,,,,,,,"214,200",,,,,
15,,N-2025,"175,000",,,186,12,"5,300",,,,,,,,,"238,600",,,,,
Service Category,Salary Code,Initial step,Years,1st Slab,Years,187,2nd Slab,Years,3rd Slab,Years,4th Slab,Maximum,,,,,,,,,,
Primary Level Unskilled,U- PL 1 - 2025,"42,775",10,450,10,187,490,10,540,12,640,"65,255",,,,,,,,,,
Primary Level Semi-skilled,U -PL 2 - 2025,"44,575",10,490,10,187,540,10,640,12,690,"69,555",,,,,,,,,,
Primary Level Skilled,U-PL 3 - 2025,"48,005",10,490,10,187,540,10,640,12,690,"72,985",,,,,,,,,,
"Management Assistants -
Non Technical",U-MN 1 - 2025,"49,475",10,540,11,187,640,10,890,10,"1,190","82,715",,,,,,,,,,
"Management Assistant -
Technical",U-MT 1 - 2025,"51,095",7,540,11,187,640,10,890,13,"1,190","86,285",,,,,,,,,,
"Associate Officer- Segment
2",U-MN 2 - 2025,"61,275",10,890,18,187,"1,190",8,"1,240",-,-,"101,515",,,,,,,,,,
"Associate Officer- Segment
1",U-MN 3 - 2025,"71,365",10,"1,190",10,187,"1,700",16,"2,020",-,-,"132,585",,,,,,,,,,
"Staff Assistant/Supra &
Senior Staff Assistant",U-MN 4 - 2025,"71,365",6,"1,190",10,187,"1,700",5,"2,020",-,-,"105,605",,,,,,,,,,
Medical Officer,U-MO 1 - 2025,"93,805",10,"2,400",22,187,"2,940",-,-,-,-,"182,485",,,,,,,,,,
Chief Medical Officer,U-MO 2 - 2025,"161,905",15,"3,900",,187,,-,-,-,-,"220,405",,,,,,,,,,
"Junior
Executives/Managers",U-Ex 1 - 2025,"85,305",3,"2,020",21,187,"2,400",-,-,-,-,"141,765",,,,,,,,,,
Middle Level Executives,U-Ex 2 - 2025,"113,690",8,"2,400",10,187,"2,940",8,"3,120",-,-,"187,250",,,,,,,,,,
Middle Level Executives,U-Ex 2a - 2025,"150,530",16,"3,900",-,187,-,-,-,-,-,"212,930",,,,,,,,,,
Service Category,Salary Code,Initial step,Years,1st Slab,Years,188,2nd Slab,Years,3rd Slab,Years,4th Slab,Maximum,,,,,,,,,,
Senior Executives,U-Ex 3 -2025,"166,130",7,"3,900",11,188,"4,850",-,-,-,-,"246,780",,,,,,,,,,
"Academic Support-
Segment 2",U-AS 1 - 2025,"68,145",10,"1,190",20,188,"1,240",-,-,-,-,"104,845",,,,,,,,,,
